"Year","Month","State","Genus Species","Serotype or Genotype","Etiology Status","Location of Preparation","Illnesses","Hospitalizations","Deaths","Food Vehicle","Contaminated Ingredient"
2009,3,"Connecticut","Escherichia coli","O157:H7","Confirmed","Office/indoor workplace",60,5,0,"chicken tenders",NA
2009,3,"Connecticut","Shiga toxin-producing","O157:H7","Confirmed","Office/indoor workplace",60,5,0,"chicken tenders",NA
2009,1,"Ohio","Norovirus Genogroup II","GII_12","Confirmed","Caterer (food prepared off-site from where served)",22,0,0,"sandwich, deli",NA
2009,7,"Tennessee","Salmonella enterica","Heidelberg; Infantis","Confirmed; Confirmed","Restaurant - Sit-down dining; Caterer (food prepared off-site from where served)",53,7,0,"pork, bbq",NA
2009,7,"Tennessee","Salmonella enterica","Heidelberg; Infantis","Confirmed; Confirmed","Restaurant - Sit-down dining; Caterer (food prepared off-site from where served)",53,7,0,"pork, bbq",NA
2009,4,"New Hampshire","Salmonella enterica","Enteritidis","Confirmed","Other (describe in remarks)",45,1,0,"salads","egg"
2009,4,"New Hampshire","Salmonella enterica","Enteritidis","Confirmed","Camp",133,5,0,"pudding, unspecified",NA
2009,6,"North Dakota","Salmonella enterica","Montevideo","Confirmed","Private home/residence; Banquet Facility (food prepared and served on-site)",36,2,0,"taco meat","beef"
2009,6,"North Dakota","Salmonella enterica","Montevideo","Confirmed","Private home/residence; Banquet Facility (food prepared and served on-site)",88,0,0,"roast beef","beef"
2009,3,"Oregon","Salmonella enterica","Heidelberg","Confirmed","Restaurant - Sit-down dining; Private home/residence",26,8,0,"chicken","chicken"
2009,5,"Michigan","Salmonella enterica","Saintpaul","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining",21,7,0,"tomatoes",NA
2009,7,"Oregon","Salmonella enterica","Enteritidis","Confirmed","Camp",59,0,0,"scrambled eggs","egg"
2009,5,"West Virginia","Salmonella enterica","Enteritidis","Confirmed",NA,21,9,2,"sausage, pork",NA
2009,8,"Maryland","Salmonella enterica","Enteritidis","Confirmed","Private home/residence",27,6,0,"potato salad",NA
2009,7,"Texas","Escherichia coli","unknown","Confirmed","Restaurant - Sit-down dining",58,0,0,"guacamole",NA
2009,11,"Tennessee","Norovirus Genogroup II","GII_4 New Orleans (2009)","Confirmed","Restaurant - Sit-down dining",36,3,0,"salads",NA
2009,11,"South Carolina","Salmonella enterica","Montevideo","Confirmed; Confirmed; Confirmed","Other (describe in remarks)",59,17,0,"pork, bbq",NA
2009,7,"Washington","Salmonella enterica","Enteritidis","Confirmed","Camp",62,0,0,"eggs, scrambled",NA
2009,8,"Colorado","Salmonella enterica","Typhimurium","Confirmed","Caterer (food prepared off-site from where served)",27,1,0,"iceberg lettuce, unspecified","lettuce"
